Ship,Type,Guns,Fleet,Commanded By,Complement,Killed,Wounded,Total Casualties,Casualties Percentage,Fate on Day,Final Fate
Africa,2-decker,64,Royal Navy,Capt Henry Digby,498,8,44,52,10.00%,Survived,Survived
Victory,3-decker,104,Royal Navy,"Vice-Admiral Lord Nelson (KIA) Capt Thomas Masterman Hardy","821",57,102,159,19.00%,Survived,Survived
Téméraire ,3-decker,98,Royal Navy,Capt Eliab Harvey,"718",47,76,123,17.00%,Survived,Survived
Neptune,3-decker,98,Royal Navy,Capt Thomas Francis Fremantle,741,10,34,44,6.00%,Survived,Survived
Leviathan,2-decker,74,Royal Navy,Capt Henry William Bayntun,623,4,22,26,4.00%,Survived,Survived
Conqueror,2-decker,74,Royal Navy,Capt Israel Pellew,573,3,9,12,2.00%,Survived,Survived
Britannia,3-decker,100,Royal Navy,"Rear-Admiral The Rt Hon. Earl of Northesk Capt Charles Bullen",854,10,42,52,6.00%,Survived,Survived
Agamemnon,2-decker,64,Royal Navy,Capt Sir Edward Berry,498,2,8,10,2.00%,Survived,Survived
Ajax,2-decker,74,Royal Navy,Lieut John Pilford (acting captain),702,2,10,12,2.00%,Survived,Survived
Orion,2-decker,74,Royal Navy,Capt Edward Codrington,541,1,23,24,4.00%,Survived,Survived
Minotaur,2-decker,74,Royal Navy,Capt Charles John Moore Mansfield,625,3,22,25,4.00%,Survived,Survived
Spartiate,2-decker,74,Royal Navy,Capt Sir Francis Laforey,620,3,22,25,4.00%,Survived,Survived
Royal Sovereign,3-decker,100,Royal Navy,"Vice-Admiral Cuthbert Collingwood Capt Edward Rotheram",826,47,94,141,17.00%,Survived,Survived
Belleisle,2-decker,74,Royal Navy,Capt William Hargood,728,33,94,127,17.00%,Survived,Survived
Mars,2-decker,74,Royal Navy,"Capt George Duff (KIA) Lieut William Hennah",615,27,71,98,16.00%,Survived,Survived
Tonnant,2-decker,80,Royal Navy,Capt Charles Tyler,688,26,50,76,11.00%,Survived,Survived
Bellerophon,2-decker,74,Royal Navy,"Capt John Cooke (KIA) Lieut William Pryce Cumby",522,28,127,155,30.00%,Survived,Survived
